months_as_customer,age,policy_number,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,capital-gains,capital-loss,incident_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year
14,28,335780,2000,1587.96,0,601617,0,-26900,Single Vehicle Collision,Major Damage,Fire,WV,Riverwood,18,1,2,1,71280,12960,12960,45360,Audi,2012
298,45,491392,1000,1362.29,0,442598,0,-51100,Multi-vehicle Collision,Minor Damage,Ambulance,NY,Northbend,18,3,0,0,64000,12800,6400,44800,Saab,1999
276,46,140880,500,1448.84,0,430987,0,-50000,Parked Car,Trivial Damage,Police,SC,Hillsdale,7,1,0,1,5940,660,660,4620,Toyota,2015
47,37,962591,2000,1241.97,0,430104,75400,0,Parked Car,Minor Damage,None,NY,Hillsdale,18,1,1,0,6700,670,670,5360,Jeep,2011
222,42,922565,500,1124.6,0,612904,0,0,Multi-vehicle Collision,Minor Damage,Police,NY,Arlington,23,3,0,0,51740,11940,7960,31840,Jeep,2006
119,28,288580,2000,1079.92,0,430886,88800,0,Single Vehicle Collision,Total Loss,Ambulance,PA,Riverwood,1,1,0,1,53600,6700,6700,40200,Volkswagen,2007
73,29,154280,1000,1447.78,0,467947,35100,-59900,Multi-vehicle Collision,Total Loss,Other,SC,Arlington,15,3,1,0,44910,4990,4990,34930,Dodge,2001
8,31,425973,500,1229.16,4000000,604804,0,-88300,Multi-vehicle Collision,Major Damage,Fire,PA,Hillsdale,2,3,0,2,48100,11100,7400,29600,Volkswagen,2014
294,44,477177,1000,1226.49,0,460308,53900,0,Vehicle Theft,Trivial Damage,None,WV,Riverwood,3,1,0,1,6100,610,1220,4270,Ford,2002
324,46,648509,2000,897.89,6000000,618862,0,-41300,Single Vehicle Collision,Minor Damage,Other,PA,Hillsdale,13,1,1,0,79600,15920,15920,47760,Jeep,2011
155,34,914815,500,1706.79,0,462479,0,0,Single Vehicle Collision,Minor Damage,Ambulance,OH,Hillsdale,1,1,1,1,77040,8560,8560,59920,Honda,1998
261,45,249048,1000,1254.18,0,457555,0,-45100,Single Vehicle Collision,Minor Damage,Fire,SC,Columbus,16,1,0,1,62590,11380,11380,39830,Volkswagen,2003
245,40,144323,500,885.08,0,459984,27000,-58900,Single Vehicle Collision,Total Loss,Other,WV,Northbend,0,1,0,1,85150,13100,13100,58950,Chevrolet,1998
235,39,651861,500,1046.58,4000000,434982,0,-31700,Vehicle Theft,Trivial Damage,None,NY,Hillsdale,1,1,2,1,4950,450,900,3600,Chevrolet,2010
53,36,125324,2000,1712.68,0,614233,72200,0,Multi-vehicle Collision,Major Damage,Fire,VA,Riverwood,17,3,2,0,51100,10220,5110,35770,Audi,2006
426,54,398102,2000,1097.71,0,605258,29600,-22300,Single Vehicle Collision,Minor Damage,Police,SC,Springfield,13,1,2,3,100800,16800,16800,67200,Dodge,1997
111,27,514065,500,1363.77,4000000,604377,51100,0,Single Vehicle Collision,Total Loss,Police,VA,Springfield,12,1,2,3,90970,16540,16540,57890,Accura,2009
86,26,391652,500,1382.88,7000000,434923,0,-30300,Single Vehicle Collision,Minor Damage,Police,SC,Northbend,11,1,1,1,81840,14880,7440,59520,Chevrolet,2011
296,46,922167,1000,1141.35,7000000,476456,0,0,Single Vehicle Collision,Major Damage,Ambulance,NY,Northbend,18,1,0,2,54900,5490,5490,43920,Mercedes,2013
125,35,442795,500,1054.83,7000000,446788,0,-51300,Single Vehicle Collision,Total Loss,Fire,NY,Northbend,17,1,2,3,88660,8060,16120,64480,Mercedes,2007
177,34,226330,2000,1057.77,0,477382,0,-57700,Multi-vehicle Collision,Total Loss,Ambulance,NC,Riverwood,22,3,1,1,18000,2250,2250,13500,Audi,2009
238,39,134430,2000,1488.02,0,600275,0,-39200,Vehicle Theft,Minor Damage,Police,NY,Northbrook,9,1,1,3,5500,1100,550,3850,Chevrolet,2010
81,25,524230,500,920.3,5000000,461958,51000,-67900,Multi-vehicle Collision,Major Damage,Other,WV,Hillsdale,11,3,1,0,73920,13440,6720,53760,Honda,2003
128,28,438817,1000,986.53,0,472720,62700,0,Single Vehicle Collision,Total Loss,Ambulance,VA,Columbus,11,1,0,2,101860,18520,18520,64820,Honda,2007
449,57,293794,2000,1440.68,0,442395,25000,0,Parked Car,Minor Damage,None,SC,Riverwood,8,1,0,1,5390,980,980,3430,Volkswagen,2008
252,39,868283,1000,1086.21,0,455340,68500,-57500,Single Vehicle Collision,Minor Damage,Police,SC,Springfield,18,1,1,2,50490,5610,5610,39270,Nissan,2001
359,47,828890,2000,1367.68,0,613247,0,0,Single Vehicle Collision,Total Loss,Police,SC,Arlington,13,1,0,3,55500,5550,11100,38850,Mercedes,2012
19,32,882920,1000,1215.85,0,454985,42900,-90200,Vehicle Theft,Minor Damage,Police,VA,Hillsdale,8,1,1,1,7040,1280,640,5120,Nissan,2015
73,26,918777,2000,1191.19,4000000,468813,29300,0,Multi-vehicle Collision,Total Loss,Other,VA,Northbrook,9,3,0,1,40160,5020,0,35140,Chevrolet,2003
285,44,212580,1000,1594.45,0,452747,0,0,Multi-vehicle Collision,Total Loss,Fire,NC,Columbus,17,2,2,3,55680,6960,6960,41760,Saab,2006
196,36,602410,2000,1463.07,0,615611,0,0,Vehicle Theft,Trivial Damage,Police,WV,Springfield,3,1,1,1,5300,530,530,4240,Jeep,2001
223,43,976971,500,1734.09,0,451400,0,0,Parked Car,Trivial Damage,None,WV,Arlington,6,1,0,3,5200,650,650,3900,Accura,2006
328,48,630226,500,1411.43,0,464874,45100,-32800,Single Vehicle Collision,Major Damage,Ambulance,NY,Riverwood,17,1,2,1,59400,5940,11880,41580,Honda,2014
285,43,171254,2000,1512.58,0,452496,47600,0,Vehicle Theft,Minor Damage,Police,SC,Arlington,7,1,1,1,2520,280,280,1960,BMW,1997
30,31,247116,2000,1153.35,0,430714,0,0,Vehicle Theft,Trivial Damage,Police,NY,Hillsdale,9,1,2,1,5760,960,960,3840,Suburu,2011
342,49,505969,500,1722.95,0,472634,63100,-13800,Single Vehicle Collision,Minor Damage,Fire,WV,Hillsdale,3,1,2,0,76700,7670,7670,61360,Suburu,2006
219,39,653864,2000,1281.07,7000000,608371,0,0,Parked Car,Trivial Damage,Police,NY,Springfield,6,1,0,2,5920,740,740,4440,Chevrolet,2015
468,62,586367,500,1011.92,0,468168,0,0,Multi-vehicle Collision,Major Damage,Fire,SC,Riverwood,7,3,0,3,64350,7150,7150,50050,Chevrolet,2009
241,39,896890,2000,1042.26,0,464107,0,0,Multi-vehicle Collision,Total Loss,Ambulance,WV,Northbend,21,3,1,2,19080,4240,2120,12720,Saab,1995
223,43,650026,500,1235.1,0,466959,66400,-34400,Single Vehicle Collision,Minor Damage,Police,SC,Springfield,14,1,2,1,54400,5440,5440,43520,BMW,2011
128,32,547744,2000,768.91,0,443522,0,-39300,Single Vehicle Collision,Total Loss,Fire,SC,Columbus,0,1,1,0,59800,5980,5980,47840,Ford,1999
124,29,598124,500,1301.72,0,441726,0,0,Multi-vehicle Collision,Major Damage,Police,VA,Springfield,14,3,0,3,72000,7200,7200,57600,Audi,2005
343,48,436126,500,1451.54,3000000,473412,0,0,Multi-vehicle Collision,Total Loss,Police,SC,Riverwood,13,4,2,3,65070,7230,14460,43380,Mercedes,2003
404,53,739447,500,767.14,0,466201,25500,-36700,Parked Car,Trivial Damage,Police,WV,Columbus,8,1,0,1,8800,1760,880,6160,Suburu,2002
63,24,427484,2000,1620.89,0,469621,0,0,Vehicle Theft,Minor Damage,Police,NC,Hillsdale,7,1,2,0,6120,1020,1020,4080,Toyota,2015
210,37,218684,2000,1048.46,0,466676,59900,0,Vehicle Theft,Trivial Damage,None,OH,Columbus,9,1,1,2,7080,1180,590,5310,Dodge,1999
335,50,565564,1000,1538.26,6000000,615346,62200,-31400,Multi-vehicle Collision,Minor Damage,Ambulance,NY,Riverwood,12,3,2,3,34320,8580,4290,21450,Volkswagen,2009
11,40,743163,2000,1217.69,0,440106,24000,0,Multi-vehicle Collision,Major Damage,Other,SC,Springfield,6,3,1,0,53460,9720,9720,34020,Dodge,2004
142,33,604614,2000,1362.64,5000000,450332,0,0,Single Vehicle Collision,Total Loss,Other,NC,Columbus,11,1,1,3,81360,6780,13560,61020,Suburu,2009
272,43,509928,1000,1279.13,0,615226,0,0,Multi-vehicle Collision,Minor Damage,Ambulance,NC,Springfield,5,3,1,2,81070,7370,14740,58960,Audi,2006
69,26,593390,2000,924.72,0,437688,0,0,Single Vehicle Collision,Minor Damage,Fire,NY,Columbus,14,1,2,2,63120,5260,10520,47340,Audi,2008
38,28,970607,1000,1019.44,0,437387,0,-39700,Vehicle Theft,Trivial Damage,None,NC,Springfield,17,1,2,1,7200,1440,720,5040,BMW,2004
328,46,174701,500,1314.6,0,458139,24800,0,Single Vehicle Collision,Total Loss,Other,WV,Hillsdale,0,1,2,3,70290,12780,6390,51120,Saab,1998
281,43,529398,1000,1515.18,6000000,443191,0,0,Multi-vehicle Collision,Minor Damage,Fire,SC,Northbrook,21,3,1,0,60190,9260,9260,41670,BMW,1999
246,44,940942,2000,1649.18,0,613647,0,-58600,Single Vehicle Collision,Major Damage,Other,NY,Hillsdale,18,1,1,2,61380,11160,5580,44640,Honda,2009
298,49,442677,500,1451.01,0,460820,47800,0,Single Vehicle Collision,Minor Damage,Ambulance,NY,Springfield,17,1,2,2,28100,2810,5620,19670,Jeep,2012
330,50,365364,1000,978.46,0,431121,0,0,Single Vehicle Collision,Total Loss,Fire,NY,Hillsdale,19,1,0,0,49060,8920,8920,31220,Chevrolet,1995
362,50,114839,500,1198.34,4000000,619735,53000,-72500,Multi-vehicle Collision,Total Loss,Fire,NY,Columbus,17,3,1,1,57060,6340,6340,44380,Mercedes,1995
241,38,872734,2000,1003.23,0,470485,0,0,Multi-vehicle Collision,Major Damage,Fire,VA,Arlington,23,3,0,3,77880,12980,12980,51920,Accura,2008
245,41,267885,2000,1212,0,620473,24400,-60500,Single Vehicle Collision,Total Loss,Ambulance,NY,Springfield,4,1,0,1,73500,7350,14700,51450,Jeep,1999
371,52,740505,1000,1242.96,7000000,449800,0,-37100,Multi-vehicle Collision,Minor Damage,Other,NY,Riverwood,2,2,2,0,88920,6840,13680,68400,Accura,2010
343,52,629663,1000,1053.02,0,602402,0,0,Single Vehicle Collision,Major Damage,Other,NY,Arlington,2,1,0,2,47630,12990,4330,30310,Toyota,2005
377,53,839884,500,1693.63,0,452456,0,-64000,Multi-vehicle Collision,Total Loss,Fire,WV,Hillsdale,10,3,1,3,59040,6560,6560,45920,Saab,2015
154,37,241562,1000,2047.59,0,439269,0,-67800,Single Vehicle Collision,Minor Damage,Other,SC,Columbus,2,1,0,3,79530,14460,7230,57840,Accura,2000
166,34,405533,1000,1083.72,0,617774,65600,-68200,Single Vehicle Collision,Total Loss,Other,NY,Columbus,18,1,0,2,53680,4880,4880,43920,Honda,2005
298,46,667021,1000,1138.42,6000000,477678,36900,-55000,Single Vehicle Collision,Minor Damage,Police,SC,Arlington,18,1,2,3,33550,3050,6100,24400,Volkswagen,2005
235,42,511621,500,1072.62,0,444913,39900,-60200,Multi-vehicle Collision,Total Loss,Other,WV,Springfield,7,4,2,1,69100,6910,6910,55280,Toyota,2006
172,35,476923,2000,1219.04,0,456602,63600,-68700,Multi-vehicle Collision,Major Damage,Police,OH,Hillsdale,19,3,2,0,79750,14500,14500,50750,Nissan,1999
27,28,735822,2000,1371.78,0,451560,0,-32500,Multi-vehicle Collision,Major Damage,Other,PA,Riverwood,10,3,0,2,53600,5360,10720,37520,Audi,2015
428,54,492745,2000,1506.21,0,453407,0,-24400,Multi-vehicle Collision,Minor Damage,Fire,NY,Riverwood,16,3,1,0,76560,12760,6380,57420,Nissan,2009
99,32,130930,1000,1058.21,3000000,618655,0,0,Single Vehicle Collision,Total Loss,Fire,NY,Arlington,17,1,1,1,41130,4570,4570,31990,Dodge,1999
107,26,261119,2000,932.14,0,612550,40600,0,Multi-vehicle Collision,Total Loss,Fire,SC,Columbus,2,3,2,3,78650,14300,7150,57200,Audi,1996
272,41,280709,2000,1608.34,0,466718,33300,-10600,Single Vehicle Collision,Major Damage,Other,NY,Springfield,19,1,1,1,71060,6460,12920,51680,Saab,2010
151,37,898573,1000,1728.56,0,617947,54000,0,Single Vehicle Collision,Minor Damage,Fire,WV,Northbrook,0,1,1,1,38830,3530,3530,31770,Suburu,1999
249,43,547802,1000,1518.46,0,606238,0,0,Single Vehicle Collision,Major Damage,Fire,SC,Riverwood,16,1,0,0,53500,5350,5350,42800,Saab,2015
177,38,600845,2000,1540.19,0,463842,0,-74500,Single Vehicle Collision,Major Damage,Other,VA,Columbus,20,1,2,0,73700,7370,7370,58960,Chevrolet,2001
190,40,390381,2000,965.21,0,610354,36900,-53700,Parked Car,Trivial Damage,None,SC,Hillsdale,10,1,2,1,6300,630,630,5040,Nissan,2001
174,36,629918,2000,1278.75,0,461328,53200,-53800,Multi-vehicle Collision,Total Loss,Ambulance,NY,Riverwood,21,3,2,2,65400,10900,10900,43600,Dodge,2012
95,28,208298,1000,773.99,0,458727,0,-70300,Vehicle Theft,Trivial Damage,None,PA,Springfield,3,1,1,2,3200,640,320,2240,Mercedes,2014
371,51,513099,1000,1532.47,0,452587,60300,-24700,Single Vehicle Collision,Major Damage,Fire,NY,Arlington,7,1,0,3,75400,7540,15080,52780,Dodge,2012
2,28,184938,1000,1340.56,0,433184,0,0,Single Vehicle Collision,Minor Damage,Fire,NY,Northbend,19,1,0,2,58140,6460,6460,45220,Saab,2008
269,44,187775,500,1297.75,4000000,451280,0,-41400,Multi-vehicle Collision,Total Loss,Ambulance,SC,Columbus,15,3,0,1,98670,15180,15180,68310,Chevrolet,2010
101,27,326322,1000,433.33,0,603269,25900,0,Parked Car,Minor Damage,None,SC,Hillsdale,7,1,0,3,5900,1180,590,4130,Mercedes,2009
94,30,146138,2000,1025.54,0,442632,0,-52600,Single Vehicle Collision,Major Damage,Fire,NC,Arlington,19,1,1,3,64100,6410,6410,51280,Chevrolet,2001
117,28,336047,500,1264.77,0,447300,47500,-32500,Multi-vehicle Collision,Total Loss,Fire,SC,Springfield,13,2,0,1,55440,5040,10080,40320,Suburu,2009
111,27,532330,500,1459.97,5000000,441783,0,0,Multi-vehicle Collision,Major Damage,Police,SC,Northbend,2,3,1,2,80850,7350,14700,58800,Ford,2011
242,40,118137,500,1238.65,0,468702,0,-44600,Vehicle Theft,Trivial Damage,Police,WV,Springfield,5,1,1,1,7480,680,680,6120,Saab,1998
440,61,212674,500,1050.76,0,467942,41500,-70200,Single Vehicle Collision,Major Damage,Fire,OH,Riverwood,21,1,2,3,53640,5960,5960,41720,Nissan,2004
20,23,935596,1000,1711.72,0,463678,0,0,Multi-vehicle Collision,Major Damage,Fire,SC,Northbrook,21,3,2,2,63250,5750,11500,46000,Chevrolet,2002
461,57,737593,500,865.33,7000000,615220,0,0,Multi-vehicle Collision,Major Damage,Ambulance,NY,Hillsdale,7,3,0,1,59040,9840,9840,39360,Dodge,1995
208,36,812025,500,1153.49,0,432711,0,0,Multi-vehicle Collision,Total Loss,Other,SC,Arlington,16,3,1,0,50500,10100,5050,35350,Accura,2004
279,43,168151,2000,1281.25,0,463583,0,0,Single Vehicle Collision,Major Damage,Police,SC,Columbus,13,1,0,1,57690,6410,12820,38460,Mercedes,2010
244,40,594739,500,1342.8,0,439502,0,0,Vehicle Theft,Trivial Damage,Police,NY,Springfield,2,1,1,3,5940,660,660,4620,Toyota,2014
134,30,843227,2000,1443.32,0,613287,0,0,Multi-vehicle Collision,Major Damage,Fire,SC,Northbend,19,3,0,2,47790,5310,5310,37170,Suburu,1995
122,29,283925,1000,1629.94,0,620104,0,-47100,Parked Car,Trivial Damage,None,SC,Riverwood,17,1,0,1,3850,350,350,3150,Dodge,2014
156,31,475588,2000,1134.08,0,446895,0,0,Single Vehicle Collision,Major Damage,Police,NC,Arlington,3,1,2,0,59000,5900,5900,47200,Ford,2013
232,43,751905,500,1483.91,8000000,431531,0,-33600,Multi-vehicle Collision,Major Damage,Ambulance,NY,Arlington,17,3,0,1,70600,7060,14120,49420,Volkswagen,2013
244,40,226725,2000,1304.67,7000000,605408,0,-45000,Multi-vehicle Collision,Minor Damage,Police,SC,Hillsdale,5,3,1,1,61490,5590,11180,44720,Dodge,2001
84,30,942504,2000,1035.79,0,457551,44400,-51500,Single Vehicle Collision,Minor Damage,Police,SC,Northbend,9,1,1,0,57640,5240,10480,41920,Volkswagen,2010
394,57,395572,500,1401.2,0,619892,51500,0,Vehicle Theft,Trivial Damage,Police,NC,Hillsdale,9,1,1,0,6890,1060,1060,4770,Audi,1999
246,45,889883,1000,1665.45,0,445853,34400,-33100,Multi-vehicle Collision,Major Damage,Fire,PA,Columbus,9,3,2,2,53280,11840,5920,35520,Toyota,2006
35,29,818167,2000,653.66,0,475483,52100,-46900,Multi-vehicle Collision,Minor Damage,Fire,SC,Springfield,22,3,0,0,78300,15660,7830,54810,BMW,2009
156,37,277767,500,1080.13,0,606290,0,-61000,Multi-vehicle Collision,Major Damage,Ambulance,PA,Springfield,15,3,0,3,41490,4610,4610,32270,Nissan,2001
195,36,842618,2000,1346.18,0,611852,57800,-53300,Multi-vehicle Collision,Total Loss,Fire,SC,Hillsdale,14,3,2,3,68970,12540,6270,50160,Chevrolet,2007
369,55,577810,2000,1589.54,0,444734,55400,0,Multi-vehicle Collision,Minor Damage,Police,VA,Arlington,6,3,2,0,85300,17060,8530,59710,Toyota,2003
271,40,873114,1000,1251.65,0,433683,71200,0,Parked Car,Minor Damage,None,NY,Hillsdale,6,1,0,0,3080,560,280,2240,Audi,2012
332,47,994538,2000,1083.01,0,448882,91900,0,Multi-vehicle Collision,Major Damage,Police,WV,Arlington,22,4,2,0,71760,11040,11040,49680,Jeep,2010
107,26,727792,500,974.59,0,466838,62800,0,Multi-vehicle Collision,Minor Damage,Ambulance,NY,Arlington,14,3,1,0,59700,11940,11940,35820,Nissan,2002
217,39,522506,2000,1399.85,0,605490,49900,-19800,Multi-vehicle Collision,Minor Damage,Fire,NY,Columbus,16,3,0,2,64920,10820,10820,43280,Ford,1997
243,43,367595,500,1307.74,0,466137,0,-75700,Multi-vehicle Collision,Major Damage,Ambulance,SC,Riverwood,10,3,0,1,37530,4170,4170,29190,Jeep,2008
296,42,586104,2000,1219.27,0,466970,53100,-63400,Multi-vehicle Collision,Total Loss,Ambulance,WV,Columbus,9,3,1,2,64080,7120,7120,49840,Saab,2012
264,41,424862,500,1411.3,0,474801,55600,0,Single Vehicle Collision,Minor Damage,Other,PA,Northbrook,4,1,1,0,60390,10980,5490,43920,BMW,2004
108,33,512813,2000,694.45,0,450703,0,0,Multi-vehicle Collision,Major Damage,Police,WV,Northbend,6,3,0,1,64350,5850,11700,46800,Nissan,2011
32,38,356768,500,1006.77,6000000,478172,0,0,Multi-vehicle Collision,Minor Damage,Police,SC,Northbend,15,3,2,1,70900,14180,7090,49630,BMW,1997
259,39,330506,1000,1422.36,0,604668,0,-83900,Multi-vehicle Collision,Minor Damage,Fire,PA,Columbus,12,3,1,3,46560,7760,7760,31040,Nissan,2012
186,33,779075,1000,1348.32,0,469429,37600,-37600,Vehicle Theft,Trivial Damage,Police,NY,Arlington,3,1,2,1,4730,860,860,3010,Chevrolet,2013
201,40,799501,2000,1315.56,0,471806,0,0,Vehicle Theft,Minor Damage,Police,SC,Northbrook,14,1,0,0,6820,1240,1240,4340,Jeep,2003
436,58,987905,2000,1407.01,5000000,475705,47400,-27600,Single Vehicle Collision,Major Damage,Police,WV,Riverwood,10,1,0,2,59900,11980,5990,41930,BMW,1997
189,36,967756,2000,1388.58,0,459122,0,-49400,Multi-vehicle Collision,Major Damage,Police,WV,Riverwood,17,3,1,3,79560,13260,13260,53040,Ford,2009
105,33,830414,500,1310.76,0,476737,0,-40900,Single Vehicle Collision,Total Loss,Other,VA,Northbrook,8,1,0,1,70290,12780,6390,51120,Accura,2008
163,31,127313,1000,1004.63,6000000,460359,26900,0,Multi-vehicle Collision,Total Loss,Ambulance,SC,Hillsdale,14,3,2,0,63910,5810,11620,46480,Suburu,1999
219,40,786957,500,1134.91,0,452735,68700,0,Vehicle Theft,Trivial Damage,None,SC,Riverwood,6,1,1,0,6400,640,640,5120,Toyota,1997
88,25,332892,1000,1194,0,613583,0,0,Single Vehicle Collision,Major Damage,Ambulance,SC,Northbrook,6,1,1,2,66780,7420,7420,51940,Ford,2013
40,39,448642,1000,1248.25,4000000,605692,0,-33300,Parked Car,Minor Damage,Police,VA,Northbrook,8,1,0,2,8760,1460,1460,5840,BMW,2013
284,42,526039,500,1338.54,-1000000,438178,0,0,Single Vehicle Collision,Major Damage,Ambulance,NC,Arlington,13,1,0,1,94160,8560,17120,68480,Chevrolet,1996
59,40,444422,2000,782.23,0,449221,64200,-32300,Multi-vehicle Collision,Total Loss,Ambulance,OH,Springfield,0,3,0,2,51570,5730,11460,34380,BMW,2010
39,31,689500,2000,1366.9,0,459322,0,-15700,Multi-vehicle Collision,Major Damage,Fire,NC,Northbend,14,3,1,0,52700,10540,10540,31620,BMW,2014
147,34,806081,1000,1275.81,0,472657,0,-48300,Single Vehicle Collision,Minor Damage,Fire,NY,Columbus,13,1,2,2,101010,15540,15540,69930,Mercedes,1998
156,37,384618,500,1090.65,0,608331,0,-51800,Multi-vehicle Collision,Minor Damage,Police,NC,Columbus,16,4,1,2,53400,5340,5340,42720,Honda,2010
123,31,756459,500,1326,0,438546,0,-54600,Single Vehicle Collision,Total Loss,Fire,SC,Northbrook,13,1,1,2,72120,12020,12020,48080,Mercedes,2009
231,43,655787,2000,972.47,0,441981,0,-58100,Multi-vehicle Collision,Minor Damage,Police,PA,Hillsdale,15,3,2,2,77100,7710,15420,53970,Audi,2010
247,39,419954,500,806.31,0,602177,0,0,Parked Car,Trivial Damage,Police,SC,Northbend,3,1,2,3,3300,600,0,2700,Dodge,2003
194,35,275092,500,1416.24,0,441659,0,0,Parked Car,Minor Damage,None,WV,Northbend,7,1,1,0,5940,1080,540,4320,Nissan,2003
119,27,515698,2000,1097.64,0,614812,27100,0,Multi-vehicle Collision,Major Damage,Other,PA,Northbend,16,2,1,0,63720,7080,21240,35400,Accura,2006
259,43,132871,500,947.75,0,458470,0,-39300,Vehicle Theft,Trivial Damage,Police,SC,Riverwood,15,1,1,3,7680,1280,640,5760,Audi,2008
107,31,714929,2000,1018.73,5000000,469646,20000,-82700,Multi-vehicle Collision,Total Loss,Police,NY,Riverwood,21,3,1,2,93730,14420,21630,57680,Honda,2001
48,44,297816,2000,1400.74,0,611118,34000,-55600,Multi-vehicle Collision,Major Damage,Police,NC,Arlington,23,3,0,2,87300,17460,17460,52380,Jeep,2013
267,40,426708,500,1155.53,5000000,465158,0,-35200,Parked Car,Trivial Damage,Police,NY,Columbus,5,1,0,2,5670,1260,630,3780,Ford,1997
286,47,615047,500,1386.93,0,457130,54100,-77600,Multi-vehicle Collision,Minor Damage,Other,NY,Springfield,15,3,0,0,65800,13160,6580,46060,Accura,2001
175,34,771236,500,915.29,0,607893,82400,-57100,Single Vehicle Collision,Major Damage,Other,NY,Arlington,14,1,2,1,36720,4080,4080,28560,Honda,2009
111,29,235869,500,1239.55,2000000,464736,0,0,Single Vehicle Collision,Major Damage,Fire,SC,Riverwood,1,1,1,1,52800,4800,9600,38400,Mercedes,1996
151,37,931625,500,1366.42,0,476198,44000,0,Multi-vehicle Collision,Total Loss,Fire,SC,Arlington,14,3,1,2,59100,5910,5910,47280,Nissan,1998
156,37,371635,1000,1086.48,6000000,444903,0,-53800,Multi-vehicle Collision,Total Loss,Other,NY,Northbrook,17,3,1,1,77440,14080,7040,56320,Suburu,1999
165,36,427199,2000,1247.87,0,464336,0,-39700,Multi-vehicle Collision,Total Loss,Fire,NY,Northbend,20,3,2,2,45700,4570,4570,36560,BMW,2008
253,41,261315,2000,1312.75,0,471453,81300,0,Multi-vehicle Collision,Major Damage,Other,SC,Springfield,10,3,2,2,80740,7340,14680,58720,Toyota,2014
10,26,582973,2000,765.64,0,466191,0,-22200,Multi-vehicle Collision,Major Damage,Ambulance,SC,Northbrook,3,3,0,3,31350,2850,5700,22800,Honda,2001
158,33,278091,2000,1327.41,0,440930,0,-38600,Single Vehicle Collision,Total Loss,Other,SC,Hillsdale,0,1,0,0,35000,3500,7000,24500,Suburu,2012
436,59,153154,1000,1338.55,0,430380,39000,0,Multi-vehicle Collision,Total Loss,Police,WV,Hillsdale,10,3,2,2,68000,13600,6800,47600,Toyota,2014
91,30,515217,2000,1316.63,8000000,613178,43900,0,Multi-vehicle Collision,Minor Damage,Other,SC,Northbend,13,3,2,0,84500,13000,13000,58500,BMW,2009
256,42,860497,1000,1286.44,0,460564,0,-39500,Single Vehicle Collision,Minor Damage,Police,WV,Northbend,14,1,2,1,75500,7550,15100,52850,Nissan,1998
274,46,351741,1000,1372.18,0,439929,0,0,Multi-vehicle Collision,Total Loss,Other,WV,Riverwood,22,3,1,3,90600,15100,15100,60400,BMW,2009
275,45,403737,2000,1447.77,0,605756,39400,-63900,Multi-vehicle Collision,Total Loss,Ambulance,VA,Northbend,8,3,1,1,64320,5360,10720,48240,Accura,1998
1,33,162004,500,903.32,0,451184,0,0,Multi-vehicle Collision,Minor Damage,Police,NY,Northbend,1,3,1,0,31700,6340,3170,22190,Toyota,2006
85,30,740384,1000,1454.42,0,459588,51600,-73900,Single Vehicle Collision,Major Damage,Other,NY,Springfield,19,1,0,1,74280,12380,12380,49520,Suburu,2006
233,37,876714,2000,1603.42,0,616637,61600,-30200,Single Vehicle Collision,Total Loss,Fire,NY,Columbus,17,1,0,2,80520,13420,6710,60390,Toyota,2005
142,30,951543,2000,1616.58,0,447979,58500,-46800,Multi-vehicle Collision,Major Damage,Other,SC,Hillsdale,13,3,0,3,63600,6360,12720,44520,Dodge,2010
266,44,576723,500,1611.83,0,460176,0,0,Single Vehicle Collision,Total Loss,Police,WV,Riverwood,4,1,1,2,32800,3280,3280,26240,BMW,2012
350,50,391003,500,889.13,0,459429,0,0,Multi-vehicle Collision,Total Loss,Police,PA,Northbend,14,3,0,2,44190,9820,4910,29460,Audi,2015
97,26,225865,1000,1252.08,0,465456,0,0,Multi-vehicle Collision,Major Damage,Other,VA,Springfield,4,2,2,2,50400,10080,5040,35280,Honda,2000
399,55,984948,2000,995.56,0,464665,0,-65400,Multi-vehicle Collision,Total Loss,Police,NY,Northbend,23,3,1,1,88400,17680,8840,61880,Nissan,2010
305,49,890328,2000,1347.92,0,430853,0,-42100,Multi-vehicle Collision,Total Loss,Fire,NY,Hillsdale,21,3,0,2,66550,12100,6050,48400,Volkswagen,2003
276,47,803294,1000,1724.09,0,615712,0,0,Multi-vehicle Collision,Minor Damage,Police,NY,Arlington,23,3,0,0,65780,5980,11960,47840,Chevrolet,2014
257,40,414913,500,1379.93,0,608228,0,0,Multi-vehicle Collision,Major Damage,Other,NY,Columbus,6,3,0,2,51810,9420,4710,37680,Audi,2002
78,31,414519,1000,1554.64,4000000,457535,0,-27900,Single Vehicle Collision,Major Damage,Other,WV,Springfield,21,1,1,0,55660,5060,10120,40480,Honda,2009
129,28,818413,1000,1377.94,0,442540,0,0,Single Vehicle Collision,Major Damage,Fire,NY,Springfield,23,1,2,3,44640,9920,4960,29760,Toyota,2005
283,46,487356,2000,1313.33,0,455332,53500,-73600,Multi-vehicle Collision,Major Damage,Ambulance,NY,Riverwood,3,3,1,3,77660,7060,14120,56480,Nissan,2004
85,25,159768,500,1259.02,0,439534,67000,-53600,Parked Car,Trivial Damage,None,SC,Northbend,8,1,2,2,5640,940,940,3760,Nissan,2005
